Campaign,"Ad Group",Keyword,"Criterion Type","Final URL"
"CC | Perfume Árabe Masc | Search | BR","AG1 - Generico BOFU","perfume arabe masculino",Frase,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG1 - Generico BOFU","perfume arabe masculino",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG1 - Generico BOFU","melhor perfume arabe masculino",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG1 - Generico BOFU","perfume arabe masculino qual comprar",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG1 - Generico BOFU","perfume arabe masculino mais elogiado",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG1 - Generico BOFU","perfume arabe masculino que fixa",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG1 - Generico BOFU","melhores perfumes arabes masculinos",Frase,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe","lattafa asad",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe","afnan 9pm",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe","lattafa khamrah",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe","armaf club de nuit intense",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe","perfume lattafa masculino",Frase,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe","perfume afnan masculino",Frase,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe","perfume armaf masculino",Frase,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe","club de nuit intense",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG3 - Beneficio","perfume masculino que fixa o dia todo",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG3 - Beneficio","perfume masculino mais elogiado",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG3 - Beneficio","perfume masculino que dura muito",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG3 - Beneficio","perfume masculino forte e barato",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG3 - Beneficio","perfume masculino fixacao 8 horas",Frase,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG4 - Ocasiao","perfume masculino para noite",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG4 - Ocasiao","perfume masculino amadeirado",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG4 - Ocasiao","perfume masculino doce",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","AG4 - Ocasiao","melhor perfume arabe para o dia",Exata,https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Extratora Estofado | Search | BR","AG1 - Compra direta","comprar extratora de estofado",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG1 - Compra direta","extratora de estofado",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG1 - Compra direta","melhor extratora de estofado",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG1 - Compra direta","extratora para sofa",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG1 - Compra direta","extratora de estofado qual comprar",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG1 - Compra direta","extratora para limpar sofa",Frase,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG2 - Marca","wap spot cleaner",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG2 - Marca","extratora wap",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG2 - Marca","karcher puzzi",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG2 - Marca","extratora vonder",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG2 - Marca","wap home cleaner",Frase,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG2 - Marca","extratora karcher",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG3 - Dor e uso","como limpar sofa encardido",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG3 - Dor e uso","higienizar sofa em casa",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG3 - Dor e uso","extratora para carro",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG3 - Dor e uso","maquina de limpar estofado",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","AG3 - Dor e uso","extratora portatil",Exata,https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Depilador Luz Pulsada | Search | BR","AG1 - Compra de aparelho","depilador a laser caseiro",Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG1 - Compra de aparelho","melhor depilador a laser caseiro",Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG1 - Compra de aparelho","depilador de luz pulsada",Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG1 - Compra de aparelho","melhor depilador de luz pulsada",Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG1 - Compra de aparelho","depilador ipl",Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG1 - Compra de aparelho","depilador a laser portatil",Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG1 - Compra de aparelho","comprar depilador de luz pulsada",Frase,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG2 - Marca",ulike,Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG2 - Marca","ulike air 10",Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG2 - Marca",mlay,Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG2 - Marca","mlay t4",Exata,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG2 - Marca","depilador ulike",Frase,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","AG2 - Marca","depilador mlay",Frase,https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
