Campaign,Keyword,"Criterion Type"
"CC | Perfume Árabe Masc | Search | BR",feminino,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR","para mulher","Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",yara,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",decant,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",5ml,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",10ml,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",amostra,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",receita,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR","como fazer","Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",caseiro,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",formula,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",atacado,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",revenda,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",fornecedor,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR","kit revenda","Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR","mercado livre","Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",shopee,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",magalu,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",magazine,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",americanas,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",natura,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",boticario,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR","o boticario","Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",avon,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",creed,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",dior,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",sauvage,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR","paco rabanne","Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR","one million","Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR","bleu de chanel","Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",emprego,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",vaga,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",curso,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",letra,"Frase negativa da campanha"
"CC | Perfume Árabe Masc | Search | BR",musica,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",aluguel,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",alugar,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",locacao,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR","higienizacao profissional","Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR","empresa de limpeza","Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",curso,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR","como fazer caseiro","Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",receita,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",manual,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR","mercado livre","Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",shopee,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",magalu,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR","casas bahia","Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",usado,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",conserto,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",peca,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",mangueira,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",motor,"Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR","lavadora de alta pressao","Frase negativa da campanha"
"CC | Extratora Estofado | Search | BR",aspirador,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","depilacao a laser","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",clinica,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",sessao,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",sessoes,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","preco sessao","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","quanto custa depilacao","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","perto de mim","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",agendar,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","funciona mesmo","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",dos,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",diy,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","faz mal","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",gravidez,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","mercado livre","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",shopee,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",magalu,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR",natura,"Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","pelo loiro","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","pelo branco","Frase negativa da campanha"
"CC | Depilador Luz Pulsada | Search | BR","pelo grisalho","Frase negativa da campanha"
